# 优化的快速探索路径（减少回头路）
# 视野半径: 6像素
# 目标覆盖率: 85.0%
# 停留点数: 204
# 总路径点数: 4877
# 格式: 序号,x,y
0,129,97
1,129,96
2,129,95
3,129,94
4,129,93
5,129,92
6,129,91
7,129,90
8,129,89
9,129,88
10,129,87
11,129,86
12,129,85
13,130,85
14,131,85
15,132,85
16,133,85
17,134,85
18,135,85
19,136,85
20,137,85
21,138,85
22,139,85
23,140,85
24,141,85
25,141,86
26,141,87
27,141,88
28,141,89
29,141,90
30,141,91
31,141,92
32,141,93
33,141,94
34,141,95
35,141,96
36,141,97
37,141,98
38,141,99
39,141,100
40,141,101
41,141,102
42,141,103
43,141,104
44,141,105
45,141,106
46,141,107
47,141,108
48,141,109
49,140,109
50,139,109
51,138,109
52,137,109
53,136,109
54,135,109
55,134,109
56,133,109
57,132,109
58,131,109
59,130,109
60,129,109
61,128,109
62,127,109
63,126,109
64,125,109
65,124,109
66,123,109
67,123,110
68,123,111
69,123,112
70,123,113
71,123,114
72,123,115
73,124,115
74,125,115
75,126,115
76,127,115
77,128,115
78,129,115
79,130,115
80,131,115
81,132,115
82,133,115
83,134,115
84,135,115
85,136,115
86,137,115
87,138,115
88,139,115
89,140,115
90,141,115
91,140,115
92,139,115
93,138,115
94,137,115
95,136,115
96,135,115
97,134,115
98,133,115
99,132,115
100,131,115
101,130,115
102,129,115
103,128,115
104,127,115
105,126,115
106,125,115
107,124,115
108,123,115
109,123,114
110,123,113
111,123,112
112,123,111
113,123,110
114,123,109
115,123,108
116,123,107
117,123,106
118,123,105
119,123,104
120,123,103
121,123,102
122,123,101
123,123,100
124,123,99
125,123,98
126,123,97
127,123,96
128,123,95
129,123,94
130,123,93
131,123,92
132,123,91
133,123,90
134,123,89
135,123,88
136,123,87
137,123,86
138,123,85
139,123,84
140,123,83
141,123,82
142,123,81
143,123,80
144,123,79
145,123,78
146,123,77
147,123,76
148,123,75
149,123,74
150,123,73
151,124,73
152,125,73
153,126,73
154,127,73
155,128,73
156,129,73
157,129,72
158,129,71
159,129,70
160,128,70
161,127,70
162,126,70
163,126,69
164,126,68
165,126,67
166,126,66
167,126,65
168,126,64
169,126,63
170,126,62
171,126,61
172,126,60
173,126,59
174,126,58
175,126,57
176,126,56
177,126,55
178,126,54
179,126,53
180,126,52
181,126,51
182,126,50
183,126,49
184,127,49
185,128,49
186,129,49
187,128,49
188,127,49
189,126,49
190,125,49
191,124,49
192,123,49
193,122,49
194,121,49
195,120,49
196,119,49
197,118,49
198,117,49
199,116,49
200,115,49
201,114,49
202,113,49
203,112,49
204,111,49
205,110,49
206,109,49
207,108,49
208,107,49
209,106,49
210,105,49
211,105,48
212,105,47
213,105,46
214,105,45
215,105,44
216,105,43
217,105,42
218,105,41
219,105,40
220,105,39
221,105,38
222,105,37
223,106,37
224,107,37
225,108,37
226,109,37
227,110,37
228,111,37
229,112,37
230,113,37
231,114,37
232,115,37
233,116,37
234,117,37
235,118,37
236,119,37
237,120,37
238,121,37
239,122,37
240,123,37
241,124,37
242,125,37
243,126,37
244,127,37
245,128,37
246,129,37
247,130,37
248,131,37
249,132,37
250,133,37
251,134,37
252,135,37
253,136,37
254,137,37
255,138,37
256,139,37
257,140,37
258,141,37
259,141,38
260,141,39
261,141,40
262,140,40
263,140,41
264,140,42
265,140,43
266,140,44
267,140,45
268,140,46
269,140,47
270,140,48
271,140,49
272,141,49
273,141,50
274,141,51
275,141,52
276,141,53
277,141,54
278,141,55
279,140,55
280,139,55
281,138,55
282,137,55
283,136,55
284,135,55
285,134,55
286,133,55
287,132,55
288,131,55
289,130,55
290,129,55
291,129,56
292,128,56
293,127,56
294,127,57
295,126,57
296,126,58
297,126,59
298,126,60
299,126,61
300,126,62
301,126,63
302,126,64
303,126,65
304,126,66
305,126,67
306,126,68
307,126,69
308,126,70
309,126,71
310,126,72
311,126,73
312,127,73
313,128,73
314,129,73
315,130,73
316,131,73
317,132,73
318,133,73
319,134,73
320,135,73
321,136,73
322,137,73
323,138,73
324,139,73
325,140,73
326,141,73
327,140,73
328,139,73
329,138,73
330,137,73
331,136,73
332,135,73
333,134,73
334,133,73
335,132,73
336,131,73
337,130,73
338,129,73
339,128,73
340,127,73
341,126,73
342,126,72
343,126,71
344,126,70
345,126,69
346,126,68
347,126,67
348,126,66
349,126,65
350,126,64
351,126,63
352,126,62
353,126,61
354,126,60
355,126,59
356,126,58
357,126,57
358,127,57
359,127,56
360,128,56
361,129,56
362,129,55
363,130,55
364,131,55
365,132,55
366,133,55
367,134,55
368,135,55
369,136,55
370,137,55
371,138,55
372,139,55
373,140,55
374,140,54
375,140,53
376,140,52
377,140,51
378,140,50
379,140,49
380,140,48
381,140,47
382,140,46
383,140,45
384,140,44
385,140,43
386,140,42
387,140,41
388,140,40
389,141,40
390,141,39
391,141,38
392,142,38
393,143,38
394,143,37
395,144,37
396,145,37
397,146,37
398,147,37
399,148,37
400,149,37
401,149,36
402,150,36
403,151,36
404,152,36
405,153,36
406,154,36
407,155,36
408,156,36
409,157,36
410,158,36
411,159,36
412,160,36
413,161,36
414,162,36
415,163,36
416,164,36
417,165,36
418,166,36
419,167,36
420,168,36
421,169,36
422,169,37
423,170,37
424,171,37
425,172,37
426,173,37
427,174,37
428,175,37
429,176,37
430,176,38
431,176,39
432,177,39
433,177,40
434,177,41
435,177,42
436,177,43
437,177,44
438,177,45
439,176,45
440,176,46
441,176,47
442,176,48
443,175,48
444,175,49
445,175,50
446,175,51
447,175,52
448,175,53
449,174,53
450,174,54
451,173,54
452,172,54
453,171,54
454,170,54
455,169,54
456,168,54
457,167,54
458,166,54
459,165,54
460,165,55
461,165,56
462,165,57
463,165,58
464,165,59
465,165,60
466,165,61
467,165,62
468,165,63
469,165,64
470,165,65
471,165,66
472,165,67
473,165,68
474,165,69
475,165,70
476,165,71
477,165,72
478,165,73
479,166,73
480,167,73
481,168,73
482,169,73
483,170,73
484,171,73
485,172,73
486,173,73
487,174,73
488,175,73
489,176,73
490,177,73
491,177,72
492,177,71
493,177,70
494,177,69
495,177,68
496,177,67
497,177,66
498,177,65
499,177,64
500,177,63
501,177,62
502,177,61
503,178,61
504,179,61
505,180,61
506,181,61
507,182,61
508,183,61
509,184,61
510,185,61
511,186,61
512,187,61
513,188,61
514,189,61
515,189,62
516,189,63
517,189,64
518,189,65
519,189,66
520,189,67
521,189,68
522,189,69
523,189,70
524,189,71
525,189,72
526,189,73
527,188,73
528,187,73
529,186,73
530,185,73
531,184,73
532,183,73
533,183,74
534,183,75
535,183,76
536,183,77
537,183,78
538,183,79
539,183,80
540,183,81
541,183,82
542,183,83
543,183,84
544,183,85
545,182,85
546,181,85
547,180,85
548,179,85
549,178,85
550,177,85
551,176,85
552,175,85
553,174,85
554,173,85
555,172,85
556,171,85
557,170,85
558,169,85
559,168,85
560,167,85
561,166,85
562,165,85
563,165,84
564,165,83
565,165,82
566,165,81
567,165,80
568,165,79
569,165,78
570,165,77
571,165,76
572,165,75
573,165,74
574,165,73
575,165,72
576,165,71
577,165,70
578,165,69
579,165,68
580,165,67
581,165,66
582,165,65
583,165,64
584,165,63
585,165,62
586,165,61
587,165,60
588,165,59
589,165,58
590,165,57
591,165,56
592,165,55
593,166,55
594,167,55
595,168,55
596,169,55
597,170,55
598,171,55
599,171,54
600,172,54
601,173,54
602,174,54
603,174,53
604,175,53
605,175,52
606,175,51
607,175,50
608,175,49
609,175,48
610,176,48
611,176,47
612,176,46
613,176,45
614,177,45
615,177,44
616,177,43
617,177,42
618,177,41
619,177,40
620,177,39
621,177,38
622,177,37
623,177,36
624,177,35
625,177,34
626,177,33
627,177,32
628,177,31
629,177,30
630,177,29
631,177,28
632,177,27
633,177,26
634,177,25
635,177,24
636,177,23
637,177,22
638,177,21
639,177,20
640,177,19
641,177,18
642,178,18
643,179,18
644,180,18
645,181,18
646,182,18
647,183,18
648,184,18
649,185,18
650,186,18
651,187,18
652,188,18
653,189,18
654,189,17
655,189,16
656,189,15
657,189,14
658,189,13
659,189,12
660,190,12
661,191,12
662,192,12
663,193,12
664,194,12
665,195,12
666,194,12
667,193,12
668,192,12
669,191,12
670,190,12
671,189,12
672,188,12
673,187,12
674,186,12
675,185,12
676,184,12
677,183,12
678,182,12
679,181,12
680,180,12
681,179,12
682,178,12
683,177,12
684,176,12
685,175,12
686,174,12
687,173,12
688,172,12
689,171,12
690,170,12
691,169,12
692,168,12
693,167,12
694,166,12
695,165,12
696,165,13
697,165,14
698,165,15
699,165,16
700,165,17
701,165,18
702,165,19
703,165,20
704,165,21
705,165,22
706,165,23
707,166,23
708,167,23
709,168,23
710,169,23
711,169,24
712,170,24
713,171,24
714,172,24
715,173,24
716,174,24
717,174,25
718,175,25
719,176,25
720,176,26
721,176,27
722,177,27
723,177,28
724,177,29
725,177,30
726,176,30
727,176,31
728,176,32
729,175,32
730,174,32
731,174,33
732,174,34
733,173,34
734,172,34
735,171,34
736,170,34
737,169,34
738,168,34
739,167,34
740,166,34
741,165,34
742,165,35
743,165,36
744,164,36
745,163,36
746,162,36
747,161,36
748,160,36
749,159,36
750,158,36
751,157,36
752,156,36
753,155,36
754,154,36
755,153,36
756,152,36
757,151,36
758,150,36
759,149,36
760,148,36
761,147,36
762,146,36
763,145,36
764,144,36
765,143,36
766,142,36
767,141,36
768,140,36
769,139,36
770,138,36
771,137,36
772,136,36
773,135,36
774,134,36
775,133,36
776,132,36
777,131,36
778,130,36
779,129,36
780,128,36
781,127,36
782,126,36
783,125,36
784,125,37
785,125,38
786,125,39
787,125,40
788,125,41
789,125,42
790,125,43
791,125,44
792,125,45
793,125,46
794,125,47
795,125,48
796,125,49
797,125,50
798,125,51
799,125,52
800,125,53
801,125,54
802,125,55
803,125,56
804,125,57
805,125,58
806,125,59
807,125,60
808,125,61
809,125,62
810,125,63
811,125,64
812,125,65
813,125,66
814,125,67
815,125,68
816,125,69
817,124,69
818,124,70
819,123,70
820,122,70
821,122,71
822,121,71
823,121,72
824,120,72
825,119,72
826,119,73
827,119,74
828,118,74
829,118,75
830,118,76
831,118,77
832,117,77
833,117,78
834,116,78
835,116,79
836,115,79
837,114,79
838,113,79
839,112,79
840,111,79
841,111,80
842,110,80
843,109,80
844,108,80
845,107,80
846,106,80
847,105,80
848,104,80
849,103,80
850,102,80
851,101,80
852,100,80
853,99,80
854,98,80
855,97,80
856,96,80
857,95,80
858,94,80
859,93,80
860,93,81
861,93,82
862,93,83
863,93,84
864,93,85
865,93,86
866,93,87
867,93,88
868,93,89
869,93,90
870,93,91
871,93,92
872,93,93
873,93,94
874,93,95
875,93,96
876,92,96
877,91,96
878,90,96
879,89,96
880,88,96
881,87,96
882,86,96
883,85,96
884,84,96
885,83,96
886,82,96
887,81,96
888,81,95
889,81,94
890,81,93
891,81,92
892,81,91
893,81,90
894,81,89
895,81,88
896,81,87
897,81,86
898,81,85
899,81,84
900,80,84
901,79,84
902,78,84
903,77,84
904,76,84
905,75,84
906,74,84
907,73,84
908,72,84
909,71,84
910,70,84
911,69,84
912,68,84
913,67,84
914,66,84
915,65,84
916,64,84
917,63,84
918,62,84
919,61,84
920,60,84
921,59,84
922,58,84
923,57,84
924,56,84
925,55,84
926,54,84
927,53,84
928,52,84
929,51,84
930,50,84
931,49,84
932,48,84
933,47,84
934,46,84
935,45,84
936,44,84
937,43,84
938,42,84
939,41,84
940,40,84
941,39,84
942,38,84
943,37,84
944,36,84
945,35,84
946,34,84
947,33,84
948,33,85
949,33,86
950,33,87
951,33,88
952,33,89
953,33,90
954,33,91
955,33,92
956,33,93
957,33,94
958,33,95
959,33,96
960,32,96
961,31,96
962,30,96
963,29,96
964,28,96
965,27,96
966,26,96
967,25,96
968,24,96
969,23,96
970,22,96
971,21,96
972,21,97
973,21,98
974,21,99
975,21,100
976,21,101
977,21,102
978,21,103
979,21,104
980,21,105
981,21,106
982,21,107
983,21,108
984,22,108
985,23,108
986,24,108
987,24,109
988,24,110
989,24,111
990,24,112
991,24,113
992,24,114
993,24,115
994,24,116
995,24,117
996,24,118
997,24,119
998,24,120
999,24,121
1000,24,122
1001,24,123
1002,24,124
1003,24,125
1004,24,126
1005,24,127
1006,24,128
1007,24,129
1008,24,130
1009,24,131
1010,24,132
1011,23,132
1012,22,132
1013,21,132
1014,20,132
1015,19,132
1016,18,132
1017,17,132
1018,16,132
1019,15,132
1020,14,132
1021,13,132
1022,12,132
1023,12,133
1024,12,134
1025,12,135
1026,12,136
